Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist Analyst,$68K - $133K (Glassdoor est.),"The Digital Technologies team is a very entrepreneurial and nimble new division set up to drive
innovation and positive disruption within Mars.
Data and Analytics is a key new competency and capability we are developing to do this. It is
foundational to Digital Technologies, and we see a huge amount of future value generated by
driving competitive advantage from data through analytics and data science
What are we looking for?
Must have - Degree level in scientific, mathematical subject",4.2,"MARS
4.2","Newark, NJ",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Senior Data Scientist,$125K - $198K (Glassdoor est.),"We are looking for a Machine Learning Engineer/Data Scientist with experience ind deploying Machine Learning (ML), Deep Learning (DL) models. As part of the Solution Architecture team, we work with the most exciting computing hardware and software, driving the latest breakthroughs in deep learning and machine learning. This role offers an excellent opportunity to build your career in the rapidly growing field of machine learning while enabling the world's most successful companies. Join us in this exciting endeavor!
What You’ll Be Doing
Develop and demonstrate solutions based on NVIDIA’s ground breaking ML/DL, data science software and hardware technologies to customers. Perform in-depth analysis and optimization of state-of-the art ML models to ensure the best performance on current- and next-generation GPU architectures
The Colorado Equal Pay for Equal Work Act requires that NVIDIA provide the compensation range and benefits offered for this position if performed in Colorado. The base salary range for this position in Colorado is $151,200.00 - 207,900.00 USD.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression , sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.
#deeplearning",4.7,"NVIDIA
4.7","Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Scientist,$82K - $146K (Glassdoor est.),"The ideal candidate is a rare hybrid, a scientist with the programming abilities to scrape, combine, and manage data from a variety of sources and a statistician who knows how to derive insights from the information within. He or she will combine the skills to create new prototypes with the creativity and thoroughness to ask and answer the deepest questions about the data, what secrets it holds, and to push the boundaries of what is possible with big data. Qualified candidates will have a strong academic background in mathematics or statistics, passion for data science, data mining, machine learning and experience with big data architecture and methods.
Research innovative data solutions to solve real market problems.
Drive the creation of new models and capabilities that will leapfrog traditional bureau based modeling done at most major financial institutions leveraging a wide array of data from both traditional (credit bureaus) and non-traditional (data aggregators & other) sources.
USA-Texas-Remote
Function - Data and Analytics
Full time",3.7,"Equifax
3.7","Austin, TX",10000+ Employees,1899,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD)
Sr Data Scientist,$92K - $187K (Glassdoor est.),"Job Summary:
We are looking for an Engineering Insights Senior Data Scientist to drive key analytics and engineering initiatives that improve Disney Streaming’s engineering ecosystem. The Engineering Insights team is responsible for identifying and building solutions for data insights that improve the reliability, performance, and user experience across Disney+, ESPN+, and Hulu.

This is an opportunity to join a team to improve the user’s experience through analyzing Disney Streaming’s entire ecosystem, identifying areas of improvement, and building custom solutions to proactively expedite issue identification and root cause analysis. The analysis and insights you create will help drive engineering initiatives and priorities.

To be successful in this role, you need to be a strong data scientist; always striving to solve complex problems at scale. A strong background in distributed services and client architecture is preferred. Whether you’re in New York, California, Seattle, or remote, we provide opportunities to elevate your career and to transform an industry.",3.3,"Disney Streaming
3.3","New York, NY",501 to 1000 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$100K,":::Please refer to submission instructions at the bottom of the job description:::
__
**
About the organization:
The Patrick J. McGovern Foundation is a private foundation dedicated to advancing artificial intelligence and data science solutions to create a thriving, equitable, and sustainable future for all. PJMF works in partnership with academic institutions, non-profits, start-ups, and incubators in neuroscience, digital health, climate change, vulnerable populations and digital dignity, and has dedicated funding in the last year to address the COVID-19 pandemic. For more information, please visit our website at https://www.mcgovern.org/.
Core to PJMF’s mission are inclusion, diversity, equity, and access. We apply the IDEA framework to all we do, from growing a diverse team within the Foundation, to coalition building with organizations and people around the world, to promoting trust-based philanthropic relationships, and democratizing the development and rewards of AI and data.

The Data Scientist must be someone who deeply cares about data for good and loves technology as it will be your mission to help create digital solutions with non-profit grant partners that drive social impact around the world. A visionary, entrepreneurial, and innovative team contributor, you will add geospatial data science and general ML/AI expertise to the Direct Data & AI Services team as we provide support and capacity building to the Data & Society grant partners, responding to the expressed need of our partners to strengthen and inform their advanced data analysis and ML models. As the Data Scientist, you will also contribute to the design and implementation of solutions with PJMF grant partners working with location based data, such as satellite imagery and remote sensing data. The position will report directly to the Director of Direct Data & AI Services.",-1,Patrick J McGovern Foundation,Remote,-1,-1,-1,-1,-1,-1
Junior Data Scientist,Employer Provided Salary:$40K - $75K,"Junior Analyst / Data Scientist
Analyst / Junior Data Scientist
The analyst will join a team of data scientists and IT professionals producing independent, data-driven research for institutional investors. Their focus is using advanced analytics to explain and forecast consumer, business, and investor actions. Creativity and openness to collaboration are paramount.
Company Description
Arbor Research & Trading, LLC is an institutional research and brokerage firm. Founded in 1988, we have a long history of delivering technology-based products to many of the largest and most influential institutions worldwide. Our products offer innovative research across a broad range of global fixed-income, equity, currency, and commodity markets. Our trading desk provides comprehensive issue discovery and high-quality execution in the fixed-income markets.",-1,"Arbor Research & Trading, LLC","Lake Barrington, Lake, IL",-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, WhatsApp, and Novi further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology.Instructions on how to apply, click “Apply to Job” online on this web page.


Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how Facebook users interact with our consumer and business products
Mine massive amounts of data and perform large-scale data analysis to extract useful business insights








Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",-1,Facebook App,"New York, NY",-1,-1,-1,-1,-1,-1
Data Analyst – Data Entry,-1,"Note: While this is a fully remote position, we can only consider those whose legal residence is in Texas, Colorado, Kansas, Missouri, and Illinois.
Juristat is building an innovative suite of products, and we need the team to create those tools. We’re seeking a highly motivated and organized individual to join our data team as a Data Analyst. This team is responsible for acquiring and analyzing the most complete and accurate data available to grow our products and inform our business strategies.
This particular team member will be responsible for analyzing incoming legal documents in real-time to detect and correct errors in our processing, enter data from the source documents into templates, annotate legal documents, and provide feedback to others, to improve our proprietary artificial intelligence.
Remote work-from-home options are available for this role. If you possess high attention to detail and a strong work ethic – this is the job for you!",4.6,"Juristat
4.6",Remote,1 to 50 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$136K,"Responsibilities
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field
Requirements
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Spark,Pandas, Sklearn, NumPy and Tensorflow
Familiarity with machine learning frameworks (like Keras or PyTorch)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
Masters in Computer Science, Mathematics or similar field",4.0,"Spanidea Systemms
4.0","San Francisco, CA",501 to 1000 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
Data Scientist,Employer Provided Salary:$90K - $115K,"Data Scientist
Boulder, CO -
Remote OK
Full-Time
Engineering
Outside Interactive, Inc., the premier hub for active lifestyle enthusiasts, offers best-in-class content and experiences to more than 70 million of the world’s most passionate outdoor, wellness, and endurance enthusiasts every month. We inspire a broad and diverse audience to do the activities they love with great enjoyment, inspiration, and knowledge and are dedicated to making real change in the outdoor and fitness industries. Day after day, story after story, Outside Interactive, Inc., proves that a hike, a climb, a run, a ride, a day skiing, or a yoga practice can change lives - and change the world.
We are looking for a savvy data expert who will craft the data vision for Gaia GPS and help build the future of outdoor maps. The hire will be responsible for expanding and optimizing our data ecosystem to provide insights across the company, working with teams to build ideal architecture, and optimizing data flow and collection for cross-functional teams. The ideal candidate is an experienced data pipeline builder, wrangler, and analyst who enjoys optimizing data systems and building them from the ground up. The Data Scientist will support every arm of Gaia GPS on data initiatives and ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems, and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products, data initiatives, and measuring core KPIs. The position will balance the responsibilities of building all data reports/insight for Gaia GPS core metrics while working with larger Outside Inc to blend massive data pipelines.",3.0,"Outside Online
3.0","Boulder, CO",201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$55 - $65 Per Hour,"Job Title: Data Scientist
Location: Remote (TX)
Duration: 6 Month +
Requirements:
This role would be working on creating predictive models relating to home appliances. Determining which product family consumers are interested in and then generating the audience list to fit the marketing strategy.
They will also be helping on the back end reporting to determine effectiveness on the marketing campaign.",-1,TechLogix Inc,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Data scientists at LeapYear solve problems at the cutting edge of data privacy and sophisticated analytics for the largest names in finance, healthcare, and technology. We apply LeapYear software to enable our customers to unlock the full potential of their most sensitive data while ensuring the confidentiality of the individuals or entities in that data. In a world where privacy is at the forefront of data practice and policy, our data scientists are trailblazers for a near future where confidentiality is always respected and maintained even as data is shared and leveraged as never before possible.

Our technology ensures differential privacy, a widely recognized standard of data privacy that enables all data - including sensitive information - to be utilized for analytics and modeling while maintaining mathematically-proven privacy protection.

The intersection of analytics and privacy creates unique opportunities for LeapYear data scientists. In this role you’ll develop a world-class understanding of how to apply privacy technology to solve real problems, a skill that will put you at the forefront of data science for years to come. Note that prior experience with applying differential privacy is highly beneficial but not required for those with a strong aptitude for applied statistics and data science.",3.8,"LeapYear
3.8",Remote,1 to 50 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"Our mission is to be the catalyst for massive, measurable, data-informed healthcare improvement through:
Data: integrate data in a flexible, open & scalable platform to power healthcare’s digital transformation
Analytics: deliver analytic applications & services that generate insight on how to measurably improve
Expertise: provide clinical, financial & operational experts who enable & accelerate improvement
Engagement: attract, develop and retain world-class team members by being a best place to work",4.4,"Health Catalyst
4.4",Remote,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Associate Data Scientist,$84K - $155K (Glassdoor est.),"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.",3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Data Scientist - Entry Level,-1,"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.
Primary job location is in Sacramento, but work-from-home option is available.

Qualifications",-1,Numerdox,"Sacramento, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$76K - $148K (Glassdoor est.),"What We'll Bring:
At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation we’re – consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.

Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.
What You'll Bring:


Sr Analyst, Data Science and Analytics",4.0,"TransUnion
4.0","Chicago, IL",5001 to 10000 Employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD)
Data Scientist,$74K - $134K (Glassdoor est.),"Data Scientist
Our mission is to change how the US healthcare system works.
We help organizations to adjust their healthcare benefit to provide clear incentives and insights from Data
We get employees to higher quality and lower cost healthcare providers.
This helps patients get better health outcomes while doctors are rewarded for practicing well, not performing more procedures.
We are backed by top-tier venture capital firms, are growing rapidly and looking to expand our team.
Summary of the role:",4.4,"Alldus
4.4","New York, NY",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist (Expert) - Data & Analytics - IT - CS - US,$68K - $143K (Glassdoor est.),"Candidate will develop descriptive, predictive, causal inferential, and prescriptive models, will be able to explore alternative data opportunities and cutting-edge modeling methodologies to improve existing models, should be a clear thinker and an effective communicator, able to translate technical work to a broader business audience to inform commercial decision at Bayer.

Candidate is also expected to collaborate with system integration and data warehouse engineers on data extraction and data cleaning, and work closely with the software engineering team to productize analytic application.

Required Skills:
Statistical and analytical sense, ability to communicate effectively, either R or Python, statistical models, model inference/ interpretation, and machine learning algorithm and package.",4.1,"Bayer
4.1","Saint Louis, MO",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
