,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_S,Max_S,avg_salary,Country,age_company,python,java,machine learning,aws,Job,Seniority
10,Data Scientist,78 - 103,"As an employer, we foster an exciting culture of innovation that offers challenging and dynamic work to unlock the potential of our people. We are collaborative, fast-paced, engaged and relentlessly focused on our goals.
Attracting and retaining the right people is the key to our business strategy. We provide our employees with a variety of career growth opportunities and programs that recognize and reward demonstrated results. Our work environment promotes knowledge sharing, transparency and innovation.
Posting Close Date:
12/16/2021
Working as a member of the Enterprise Data Science team, the Data Scientist will be responsible for working with business domain experts to turn data assets into actionable business insights and opportunities. You will apply machine learning, statistical and other advanced analytical methods to leverage data and help solve complex business problems by contributing both as an individual technical expert and in a team setting with business stakeholders, data engineers and data analysts. The ideal candidate will have domain expertise in subsurface oil and gas to improve collaboration with engineers and geoscientists to deliver solutions for business outcomes.",3.4,Ovintiv,"The Woodlands, TX",1001 to 5000 Employees,2002.0,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,78,103,90.5,TX,19.0,0,0,1,0,data scientist,na
11,Climate Data Scientist,79 - 157 ,"About ClimateAi
ClimateAi is on a mission to accelerate resilience in food, water, and energy. The company has launched the first of its kind Resilience-as-a-Service platform in agriculture to help supply chains adapt to climate change. The company was founded at Stanford University and is backed by top VC firms. We are a fast-growing Series-A company looking for passionate individuals who will create solutions for the most important issue of our time.

Culture
Everyone at ClimateAi is driven by a united passion to tackle climate change, and we don’t engage customers who negatively impact climate outcomes. We believe in a culture of truth and transparency, where feedback is considered an opportunity for us to contribute to each other’s personal and professional growth. We recognize the value of diversity, and we are an equal opportunity employer.",5.0,ClimateAI,"San Francisco, CA",1 to 50 Employees,-1.0,Company - Private,-1,-1,Unknown / Non-Applicable,79,157,118.0,CA,2022.0,0,0,0,0,data scientist,na
12,Data Scientist II,119 - 160,"Education in Data Science, Statistics, Economics, Science, Applied Science or relevant field of study
Ability to turn complex problems into simple solutions
Minimum 2+ years of relevant work experience
Domestic and international travel up to 10% may be required
Virtual location is okay for this role.

The Market Intelligence team for Workforce Staffing applies and insights to optimize the experience and operations for Amazon’s largest candidate population – Tier 1 Associates who bring the magic of Amazon’s industry-leading brand promise for customer fulfillment to life. The pace at which job creation, hiring, and growth that happens to support the scale and complexity of Amazon businesses is a problem Amazon is uniquely qualified to solve for and continually innovate on. Workforce Staffing literally hires by the hundreds of thousands across multiple business lines, job types, and shift configurations. The Market Intelligence team in particular focuses on applying labor market, candidate, and competitor intelligence to uplevel job offerings, mitigate operational risk, best position Amazon for its long-term growth. Come join a team that is continually shaping and writing the future of the hourly worker job offering landscape.

The Market Intelligence is highly capable and highly curious about blending science, economics, and operations research across internal and external sources to tell a compelling story of market risk and what we can do about it. You will wrangle across multiple sources, apply the right machine learning s, and visualize insights for senior operations and business partners. You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program capabilities.

Key Responsibilities
Inclusive Team Culture
Here at Amazon, we embrace our differences. We are committed to furthering our culture of inclusion. We have 12 affinity groups (employee resource groups) with more than 87,000 employees across hundreds of chapters around the world. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which reminds team members to seek diverse perspectives, learn and be curious, and earn trust.

Flexibility
It isn’t about which hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We offer flexibility and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
We care about your career growth too. Whether your goals are to explore new technologies, take on bigger opportunities, or get to the next level, we'll help you get there. Our business is growing fast and our people will grow with it.

The base pay range for this position in Colorado is $ 119,300 - 160,000 a year; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us",3.7,Amazon.com Services LLC,Remote,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),119,160,139.5,te,27.0,0,0,1,0,data scientist,na
13,Data Scientist Analyst,68 - 133 ,"The Digital Technologies team is a very entrepreneurial and nimble new division set up to drive
innovation and positive disruption within Mars.
Data and Analytics is a key new competency and capability we are developing to do this. It is
foundational to Digital Technologies, and we see a huge amount of future value generated by
driving competitive advantage from data through analytics and data science
What are we looking for?
Must have - Degree level in scientific, mathematical subject",4.2,MARS,"Newark, NJ",10000+ Employees,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),68,133,100.5,NJ,110.0,0,0,0,0,data scientist,na
14,Senior Data Scientist,125 - 198 ,"We are looking for a Machine Learning Engineer/Data Scientist with experience ind deploying Machine Learning (ML), Deep Learning (DL) models. As part of the Solution Architecture team, we work with the most exciting computing hardware and software, driving the latest breakthroughs in deep learning and machine learning. This role offers an excellent opportunity to build your career in the rapidly growing field of machine learning while enabling the world's most successful companies. Join us in this exciting endeavor!
What You’ll Be Doing
Develop and demonstrate solutions based on NVIDIA’s ground breaking ML/DL, data science software and hardware technologies to customers. Perform in-depth analysis and optimization of state-of-the art ML models to ensure the best performance on current- and next-generation GPU architectures
The Colorado Equal Pay for Equal Work Act requires that NVIDIA provide the compensation range and benefits offered for this position if performed in Colorado. The base salary range for this position in Colorado is $151,200.00 - 207,900.00 USD.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression , sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.
#deeplearning",4.7,NVIDIA,"Santa Clara, CA",10000+ Employees,1993.0,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),125,198,161.5,CA,28.0,0,0,1,0,data scientist,senior
15,Data Scientist,82 - 146 ,"The ideal candidate is a rare hybrid, a scientist with the programming abilities to scrape, combine, and manage data from a variety of sources and a statistician who knows how to derive insights from the information within. He or she will combine the skills to create new prototypes with the creativity and thoroughness to ask and answer the deepest questions about the data, what secrets it holds, and to push the boundaries of what is possible with big data. Qualified candidates will have a strong academic background in mathematics or statistics, passion for data science, data mining, machine learning and experience with big data architecture and methods.
Research innovative data solutions to solve real market problems.
Drive the creation of new models and capabilities that will leapfrog traditional bureau based modeling done at most major financial institutions leveraging a wide array of data from both traditional (credit bureaus) and non-traditional (data aggregators & other) sources.
USA-Texas-Remote
Function - Data and Analytics
Full time",3.7,Equifax,"Austin, TX",10000+ Employees,1899.0,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD),82,146,114.0,TX,122.0,0,0,1,0,data scientist,na
16,Sr Data Scientist,92 - 187 ,"Job Summary:
We are looking for an Engineering Insights Senior Data Scientist to drive key analytics and engineering initiatives that improve Disney Streaming’s engineering ecosystem. The Engineering Insights team is responsible for identifying and building solutions for data insights that improve the reliability, performance, and user experience across Disney+, ESPN+, and Hulu.

This is an opportunity to join a team to improve the user’s experience through analyzing Disney Streaming’s entire ecosystem, identifying areas of improvement, and building custom solutions to proactively expedite issue identification and root cause analysis. The analysis and insights you create will help drive engineering initiatives and priorities.

To be successful in this role, you need to be a strong data scientist; always striving to solve complex problems at scale. A strong background in distributed services and client architecture is preferred. Whether you’re in New York, California, Seattle, or remote, we provide opportunities to elevate your career and to transform an industry.",3.3,Disney Streaming,"New York, NY",501 to 1000 Employees,2018.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,92,187,139.5,NY,3.0,0,0,0,0,data scientist,senior
21,Data Scientist,136,"Responsibilities
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field
Requirements
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Spark,Pandas, Sklearn, NumPy and Tensorflow
Familiarity with machine learning frameworks (like Keras or PyTorch)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
Masters in Computer Science, Mathematics or similar field",4.0,Spanidea Systemms,"San Francisco, CA",501 to 1000 Employees,2011.0,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),136,136,136.0,CA,10.0,1,0,1,0,data scientist,na
22,Data Scientist,90 - 115,"Data Scientist
Boulder, CO -
Remote OK
Full-Time
Engineering
Outside Interactive, Inc., the premier hub for active lifestyle enthusiasts, offers best-in-class content and experiences to more than 70 million of the world’s most passionate outdoor, wellness, and endurance enthusiasts every month. We inspire a broad and diverse audience to do the activities they love with great enjoyment, inspiration, and knowledge and are dedicated to making real change in the outdoor and fitness industries. Day after day, story after story, Outside Interactive, Inc., proves that a hike, a climb, a run, a ride, a day skiing, or a yoga practice can change lives - and change the world.
We are looking for a savvy data expert who will craft the data vision for Gaia GPS and help build the future of outdoor maps. The hire will be responsible for expanding and optimizing our data ecosystem to provide insights across the company, working with teams to build ideal architecture, and optimizing data flow and collection for cross-functional teams. The ideal candidate is an experienced data pipeline builder, wrangler, and analyst who enjoys optimizing data systems and building them from the ground up. The Data Scientist will support every arm of Gaia GPS on data initiatives and ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems, and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products, data initiatives, and measuring core KPIs. The position will balance the responsibilities of building all data reports/insight for Gaia GPS core metrics while working with larger Outside Inc to blend massive data pipelines.",3.0,Outside Online,"Boulder, CO",201 to 500 Employees,-1.0,Company - Private,-1,-1,Unknown / Non-Applicable,90,115,102.5,CO,2022.0,0,0,0,0,data scientist,na
26,Associate Data Scientist,84 - 155 ,"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.",3.7,Gap Inc.,"San Francisco, CA",10000+ Employees,1969.0,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),84,155,119.5,CA,52.0,0,0,0,0,data scientist,na
28,Data Scientist,76 - 148 ,"What We'll Bring:
At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation we’re – consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.

Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.
What You'll Bring:


Sr Analyst, Data Science and Analytics",4.0,TransUnion,"Chicago, IL",5001 to 10000 Employees,1968.0,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),76,148,112.0,IL,53.0,0,0,0,0,data scientist,na
29,Data Scientist,74 - 134 ,"Data Scientist
Our mission is to change how the US healthcare system works.
We help organizations to adjust their healthcare benefit to provide clear incentives and insights from Data
We get employees to higher quality and lower cost healthcare providers.
This helps patients get better health outcomes while doctors are rewarded for practicing well, not performing more procedures.
We are backed by top-tier venture capital firms, are growing rapidly and looking to expand our team.
Summary of the role:",4.4,Alldus,"New York, NY",1 to 50 Employees,-1.0,Company - Private,-1,-1,Unknown / Non-Applicable,74,134,104.0,NY,2022.0,0,0,0,0,data scientist,na
30,Data Scientist (Expert) - Data & Analytics - IT - CS - US,68 - 143 ,"Candidate will develop descriptive, predictive, causal inferential, and prescriptive models, will be able to explore alternative data opportunities and cutting-edge modeling methodologies to improve existing models, should be a clear thinker and an effective communicator, able to translate technical work to a broader business audience to inform commercial decision at Bayer.

Candidate is also expected to collaborate with system integration and data warehouse engineers on data extraction and data cleaning, and work closely with the software engineering team to productize analytic application.

Required Skills:
Statistical and analytical sense, ability to communicate effectively, either R or Python, statistical models, model inference/ interpretation, and machine learning algorithm and package.",4.1,Bayer,"Saint Louis, MO",10000+ Employees,1863.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),68,143,105.5,MO,158.0,1,0,1,0,data scientist,na
31,Data Scientist (Upstream),68 - 143 ,"JOB SUMMARY

Data scientists at ExxonMobil combine domain expertise with interdisciplinary data science skills to bring insights to today’s most challenging energy decisions. We are looking to hire candidates to work on challenging data science problems across our oil & gas businesses, including exploration, production, refining, chemicals, and retail.

JOB RESPONSIBILITIES

Apply statistical analysis, pattern recognition, and machine learning – along with domain knowledge and subject-specific models – to solve science, engineering, and commercial problems.",3.1,ExxonMobil,"Houston, TX",10000+ Employees,1870.0,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD),68,143,105.5,TX,151.0,0,0,1,0,data scientist,na
33,Data Scientist,68 - 143 ,"Do you have a passion for data and machine learning? Do you want to apply it to create security services that help millions of customers protect their applications from threat actors around the globe? Are you curious, analytical, and motivated by new challenges and willing to prove it? If so, we would like to hear from you!

Azure Anti-Fraud Team, which is part of the Cloud Security Division, is developing Azure Analytical Threat Detection Engine, a cloud scale service that provides dynamic threat telemetry from hundreds of thousands of Azure subscriptions and provides a risk score to activities across Azure. This solution is based on state-of-the-art machine learning techniques aggregating terabytes of information each day. In addition to machine learning, the team uses other detection strategies to identify fraud patterns in Azure usage. The threat intelligence produced is used to combat fraud and abuse, and it saves Microsoft millions of dollars.

We are seeking Data Scientist to help us grow and modernize our data science and detection strategies. As a data scientist on our team, you will partner with our engineers, other data scientists, and researchers to design, build, and deploy state-of-the-art machine learning to protect Azure. In your day-to-day work, you will build machine learning pipelines, vet experiments, incorporate quality monitors, and ship successful models to production.",4.4,Microsoft,"Redmond, WA",10000+ Employees,1975.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),68,143,105.5,WA,46.0,0,0,1,0,data scientist,na
34,"Data Scientist, Creator Business Analysis",68 - 143 ,"Data, Research & Insights
Data Science
The Marketplace team builds Spotify's content platform and creator products. Our content platform ingests, understands, and safeguards the world's audio. Our creator products - Spotify for Artists, Soundtrap, and SoundBetter - enable artists and their teams to create music and connect with collaborators, in an effort to grow and monetize their audiences.
Location
New York or Remote Americas
Permanent
As one of the teams within Marketplace, Creator Business Analysis partners closely with R&D. We are responsible for ensuring our teams build the highest value products to deliver back towards the music industry. We do this by evaluating new and emerging business ideas, business models and pricing strategies. As a Data Scientist on our team, you will help analyze economic, product and business problems using analytics. You will tackle complex problems in order to develop a behavioral understanding of customer needs, as well as to forecast and predict the value that our tools deliver. In doing so, you will have a lasting impact on bringing Spotify’s marketplace vision to life.",4.2,Spotify,"New York, NY",5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,68,143,105.5,NY,15.0,0,0,0,0,data scientist,na
35,Data Scientist,68 - 143 ,"Data Scientist

Data Scientist
Remote Opportunity
Basic Purpose
The Data Scientist is responsible for performing advanced analytics in support of the Healthcare Analytics Solutions product portfolio. In this role, you will leverage your experience preparing large datasets and applying a variety of data science methods and the underlying mathematical theories to analyze data. The incumbent will work across our primary markets including, Pharma, Health Plans, and Health Systems and use the spectrum of data science fields of study, including natural language processing, machine learning and AI technology, to address the biggest challenges facing each market.",3.5,Quest Diagnostics,"Marlborough, MA",10000+ Employees,1967.0,Company - Public,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),68,143,105.5,MA,54.0,0,0,1,0,data scientist,na
36,Senior Data Scientist,68 - 143 ,"Senior Data Scientist
The Microsoft Cloud+AI Design team is looking for a Senior Data Scientist to join our Experience Analytics team – we work hard, have fun, and value collaboration and individuality in each other. As a team, we’re passionate about maximizing the impact of Data Science work on Design and Product decisions, and we are leading discussions in this area within Microsoft and beyond.

Join us if you want to impact how millions of users use the cloud and all the services it enables. Our customers range from people with highly technical skills to information workers working with cloud enabled devices and services. Our product portfolio includes Azure, Dynamics, Power BI, PowerApps, Flow, and more.

The mission of the Experience Analytics team is to leverage product telemetry to unpack the nuance behind our customers’ end-to-end journeys and drive design decisions. As a Data Scientist on the Experience Data Science team, you’ll answer key questions about users, their in-product workflow, and the quality of the user experience for your product. You will partner with Design Researchers to build a deep understanding of users, competition and market, and conduct analyses in a fast-paced, agile environment. You’ll have experience conducting a variety of analyses in different situations, from exploratory analyses to generate hypotheses, to building statistical models that quantify the impact of design changes. You’ll inspire change at all stages of product development by delivering exciting oral, written, and visual presentations about your findings. Your primary job as an advocate for our users is to help the product team understand what would make a user’s experiences natural, useful, and delightful. This role will focus on working with designers and PMs in the Power Virtual agent product.",4.4,Microsoft,"Redmond, WA",10000+ Employees,1975.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),68,143,105.5,WA,46.0,0,0,0,0,data scientist,senior
37,"Senior Data Scientist, Core Experience",68 - 143 ,"Data, Research & Insights
Data Science
Delivering the best Spotify experience possible. To as many people as possible. In as many moments as possible. That’s what the Experience team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users all over the world, bringing the music and audio they love to the devices, apps and platforms they use every day. Know what our users want? Join us and help Spotify give it to them.
Location
New York
Job type
Permanent",4.2,Spotify,"New York, NY",5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,68,143,105.5,NY,15.0,0,0,0,0,data scientist,senior
